"","Date","Open","High","Low","Close","Volume","VWAP","TWAP"
"48",2018-02-12,229.11936968,251.38529948,229.11936968,246.59101646,185828.12630081,243.77482728,243.90497401
"49",2018-02-11,249.91854494,249.91854494,219.26543813,229.83728928,212247.30439622,233.15729665,233.16710187
"50",2018-02-10,260.2628098,271.58270718,244.06104299,250.48993761,276238.26417985,257.99955729,257.63204728
"51",2018-02-09,247.31975302,260.19546011,233.77341331,259.9571587,325106.16821152,245.40237602,245.5235706
"52",2018-02-08,206.01054922,253.17164658,206.01054922,247.0185607,337121.12954524,234.27293118,234.10061355
"53",2018-02-07,210.45480216,231.35306655,191.55509812,206.94491242,311867.20642349,213.04641936,214.24682392
"54",2018-02-06,179.18346957,213.6462653,148.83886035,212.36069378,484916.28966029,175.37684636,175.47894913
"55",2018-02-05,218.96685809,220.6531359,165.94849593,178.93242728,426723.23267892,194.74236519,197.92986826
"56",2018-02-04,251.62206979,256.6196265,213.7784716,220.02525772,227455.973005,237.12660864,237.22362861
"57",2018-02-03,235.58298697,256.4124186,214.91854942,251.32398406,230883.04100623,237.84297092,240.62875283
"58",2018-02-02,240.14834734,249.69864317,184.53233245,236.16644564,554800.44680456,226.9892519,226.16445709
"59",2018-02-01,273.15307073,277.47926745,227.1393473,240.92664988,310950.61643781,256.38748898,258.36217654
"60",2018-01-31,274.62733529,283.79902809,264.81081544,271.73862569,259505.51665329,273.84742942,273.86931695
"61",2018-01-30,316.20476989,317.01083895,267.7430462,272.95420203,360871.627646,293.11599951,296.48912438
"62",2018-01-29,332.73534674,336.12473059,313.76994783,316.39392567,184211.10102929,320.72496509,320.57196573
"63",2018-01-28,324.18339771,336.18029692,322.7994788,333.01791328,237747.71529649,330.42445311,330.40143606
"64",2018-01-27,326.01058939,334.85095704,312.62490878,328.02903045,194978.45638901,324.25667283,324.46439193
"65",2018-01-26,317.84321663,330.05302409,293.1589557,325.76795454,276585.10223373,313.26846699,313.39780872
"66",2018-01-25,323.38420949,330.48099847,309.37459519,318.04660076,230829.47693,319.72834234,319.49668975
"67",2018-01-24,312.06910675,326.68981785,302.09807271,321.08836215,283055.48424359,314.89365057,315.25685316
"68",2018-01-23,322.05335639,326.76359043,290.19053622,309.60284715,370029.55779256,312.04498674,312.18544473
"69",2018-01-22,359.26999279,363.09171313,293.21034558,323.20260383,351938.31879888,335.28840777,335.96746838
"70",2018-01-21,408.59380255,413.80810044,347.12908555,355.94459434,339937.4010446,373.54849482,371.2484287
"71",2018-01-20,380.02255509,426.81340858,373.98960198,407.93648221,557728.07334465,405.35881159,404.23525693
"72",2018-01-19,322.95625615,382.92497546,318.15860217,378.28886483,531106.08976785,341.72611736,340.96379066
"73",2018-01-18,329.45804829,361.73549646,310.05976155,324.71270693,446393.91861482,338.04084983,338.39297618
"74",2018-01-17,326.50640356,343.80530365,242.49196241,328.76294428,575965.56181245,305.18244219,303.88562813
"75",2018-01-16,444.73673026,445.21034005,267.88834241,329.80371445,812134.73474224,372.79935214,375.4153276
"76",2018-01-15,417.28970208,472.10802758,409.02099892,441.56069889,571339.52302363,439.05301625,436.41937651
"77",2018-01-14,456.31135134,470.67567055,404.56520628,418.17209383,413390.67521236,430.61309789,430.31838284
"78",2018-01-13,435.15010726,474.44460752,434.30105843,456.46898954,541722.8944601,458.12699494,457.68279962
"79",2018-01-12,384.97023258,437.51838646,370.63032502,437.51838646,362950.71944983,401.06324402,401.81989682
"80",2018-01-11,440.47032647,453.12104835,369.71512807,381.41354752,455363.22850919,407.86921918,407.15988535
"81",2018-01-10,507.76719161,508.67858882,427.12963755,442.41088166,593102.67326053,466.15580669,462.46846431
"82",2018-01-09,450.49576662,541.22667318,443.7941958,509.13990148,1017144.74258665,508.27105559,504.58584441
"83",2018-01-08,442.46732785,450.82752658,378.64886465,450.82752658,493011.95155107,424.21523066,422.99330781
"84",2018-01-07,436.81421348,473.9788697,394.38401098,442.54419706,592800.18194113,452.57645282,451.13266208
"85",2018-01-06,377.23539406,439.37012303,372.90906027,439.37012303,535647.35389262,400.19769577,399.36837984
"86",2018-01-05,396.11731707,400.43329119,366.17812482,376.69973137,469805.62064782,386.9299637,387.14263182
"87",2018-01-04,406.66758315,413.18985404,377.39139916,396.39546188,411423.14795956,395.11337419,394.79827912
